tvs,tvel,time,kk,state,kq,kr
1,277,13,1.68,0,0.33971,0.5707128
1,287,13,1.3136,0,0.33971,0.446243056
1,297,13,0.6809999999999999,0,0.33971,0.23134250999999997
1,307,13,0.4614,0,0.33971,0.156742194
1,317,13,0.6331,0,0.33971,0.215070401
1,327,13,1.2668,0,0.33971,0.430344628
2,277,13,1.4375,0,0.56112,0.8066099999999999
2,287,13,1.1640000000000001,0,0.56112,0.65314368
2,297,13,0.6546,0,0.56112,0.36730915199999997
2,307,13,0.544,0,0.56112,0.30524928
2,317,13,0.8675,0,0.56112,0.48677159999999997
2,327,13,1.3356,0,0.56112,0.7494318719999998
3,277,13,1.3263,0,0.87136,1.155684768
3,287,13,1.0896,0,0.87136,0.949433856
3,297,13,0.6895,0,0.87136,0.60080272
3,307,13,0.64,0,0.87136,0.5576704
3,317,13,0.9778,0,0.87136,0.852015808
3,327,13,1.2778,0,0.87136,1.113423808
4,277,13,1.2753,0,0.86882,1.1080061460000001
4,287,13,0.9775,0,0.86882,0.8492715500000001
4,297,13,0.6405,0,0.86882,0.55647921
4,307,13,0.69,0,0.86882,0.5994858
4,317,13,1.0925,0,0.86882,0.9491858500000001
4,327,13,1.3267,0,0.86882,1.152663494
5,277,13,1.3354,0,0.55924,0.7468090959999999
5,287,13,0.8656,0,0.55924,0.484078144
5,297,13,0.5435,0,0.55924,0.30394693999999994
5,307,13,0.6537,0,0.55924,0.36557518799999994
5,317,13,1.1645,0,0.55924,0.65123498
5,327,13,1.4388,0,0.55924,0.804634512
6,277,13,1.2717,0,0.33432,0.42515474400000003
6,287,13,0.6283,0,0.33432,0.210053256
6,297,13,0.4449,0,0.33432,0.148738968
6,307,13,0.6704,0,0.33432,0.224128128
6,317,13,1.3211,0,0.33432,0.441670152
6,327,13,1.6932,0,0.33432,0.5660706240000001
7,277,13,1.6924,0,0.3344,0.56593856
7,287,13,1.2716,0,0.3344,0.42522304
7,297,13,0.6294,0,0.3344,0.21047135999999997
7,307,13,0.4443,0,0.3344,0.14857391999999997
7,317,13,0.6703,0,0.3344,0.22414831999999998
7,327,13,1.3222,0,0.3344,0.44214368
8,277,13,1.3443,0,0.56453,0.758897679
8,287,13,1.2361,0,0.56453,0.697815533
8,297,13,0.8554,0,0.56453,0.482898962
8,307,13,0.597,0,0.56453,0.33702441
8,317,13,0.8168,0,0.56453,0.46110810399999996
8,327,13,1.2102,0,0.56453,0.6831942059999999
9,277,13,1.2281,0,1.073,1.3177512999999998
9,287,13,1.1248,0,1.073,1.2069104
9,297,13,0.9175,0,1.073,0.9844774999999999
9,307,13,0.7883,0,1.073,0.8458458999999999
9,317,13,0.9224,0,1.073,0.9897351999999999
9,327,13,1.1398,0,1.073,1.2230054
10,277,13,1.1294,0,1.139,1.2863866
10,287,13,1.0757,0,1.139,1.2252223000000002
10,297,13,0.9727,0,1.139,1.1079053
10,307,13,0.9177,0,1.139,1.0452603
10,317,13,1.0498,0,1.139,1.1957222
10,327,13,1.1453,0,1.139,1.3044967
11,277,13,1.0192,0,1.036,1.0558912000000003
11,287,13,0.9975,0,1.036,1.0334100000000002
11,297,13,0.9693,0,1.036,1.0041948
11,307,13,0.9926,0,1.036,1.0283336
11,317,13,1.0327,0,1.036,1.0698772
11,327,13,1.0403,0,1.036,1.0777508
12,277,13,1.147,0,1.135,1.3018450000000001
12,287,13,1.0511,0,1.135,1.1929984999999999
12,297,13,0.919,0,1.135,1.0430650000000001
12,307,13,0.9707,0,1.135,1.1017445000000001
12,317,13,1.0733,0,1.135,1.2181955
12,327,13,1.131,0,1.135,1.283685
13,277,13,1.1414,0,1.069,1.2201566
13,287,13,0.9208,0,1.069,0.9843351999999999
13,297,13,0.7876,0,1.069,0.8419443999999999
13,307,13,0.9156,0,1.069,0.9787763999999999
13,317,13,1.1259,0,1.069,1.2035870999999998
13,327,13,1.2301,0,1.069,1.3149769
14,277,13,1.2359,0,0.56435,0.697480165
14,287,13,0.8545,0,0.56435,0.482237075
14,297,13,0.5978,0,0.56435,0.33736843
14,307,13,0.8173,0,0.56435,0.461243255
14,317,13,1.2095,0,0.56435,0.682581325
14,327,13,1.3444,0,0.56435,0.7587121400000001
15,277,13,1.3138,0,0.33969,0.446284722
15,287,13,0.6799,0,0.33969,0.23095523099999998
15,297,13,0.4621,0,0.33969,0.156970749
15,307,13,0.6333,0,0.33969,0.215125677
15,317,13,1.266,0,0.33969,0.43004754
15,327,13,1.6808,0,0.33969,0.570950952
16,277,13,1.4386,0,0.55953,0.804939858
16,287,13,1.3356,0,0.55953,0.7473082679999999
16,297,13,0.8666,0,0.55953,0.484888698
16,307,13,0.5429999999999999,0,0.55953,0.30382478999999996
16,317,13,0.6534,0,0.55953,0.36559690199999995
16,327,13,1.165,0,0.55953,0.65185245
17,277,13,1.2302,0,1.07,1.316314
17,287,13,1.1407,0,1.07,1.220549
17,297,13,0.9228,0,1.07,0.987396
17,307,13,0.7861,0,1.07,0.8411270000000001
17,317,13,0.9157,0,1.07,0.979799
17,327,13,1.1261,0,1.07,1.204927
18,277,13,1.1183,0,1.192,1.3330136000000001
18,287,13,1.1085,0,1.192,1.321332
18,297,13,1.018,0,1.192,1.2134559999999999
18,307,13,0.9167,0,1.192,1.0927064
18,317,13,1.0154,0,1.192,1.2103568
18,327,13,1.1091,0,1.192,1.3220471999999999
19,277,13,0.9941,0,1.177,1.1700557
19,287,13,1.0017,0,1.177,1.1790009000000001
19,297,13,1.0355,0,1.177,1.2187835000000002
19,307,13,1.0434,0,1.177,1.2280818000000002
19,317,13,1.0042,0,1.177,1.1819434
19,327,13,0.9927,0,1.177,1.1684079
20,277,13,1.0215,0,1.1159999999999999,1.139994
20,287,13,0.9904,0,1.1159999999999999,1.1052863999999998
20,297,13,0.9873,0,1.1159999999999999,1.1018267999999998
20,307,13,1.0042,0,1.1159999999999999,1.1206871999999999
20,317,13,1.0217,0,1.1159999999999999,1.1402172
20,327,13,1.024,0,1.1159999999999999,1.1427839999999998
21,277,13,1.0255,0,1.117,1.1454835
21,287,13,1.0217,0,1.117,1.1412389
21,297,13,1.0031,0,1.117,1.1204627
21,307,13,0.9857,0,1.117,1.1010269
21,317,13,0.9911,0,1.117,1.1070587
21,327,13,1.0228,0,1.117,1.1424675999999998
22,277,13,0.9935,0,1.177,1.1693495
22,287,13,1.0043,0,1.177,1.1820611
22,297,13,1.0429,0,1.177,1.2274933
22,307,13,1.033,0,1.177,1.215841
22,317,13,1.0015,0,1.177,1.1787655000000001
22,327,13,0.9959,0,1.177,1.1721743
23,277,13,1.1087,0,1.1909999999999998,1.3204616999999998
23,287,13,1.0168,0,1.1909999999999998,1.2110087999999997
23,297,13,0.9177,0,1.1909999999999998,1.0929806999999998
23,307,13,1.0161,0,1.1909999999999998,1.2101750999999998
23,317,13,1.1083,0,1.1909999999999998,1.3199853
23,327,13,1.1188,0,1.1909999999999998,1.3324907999999998
24,277,13,1.1255,0,1.072,1.206536
24,287,13,0.9155,0,1.072,0.9814160000000001
24,297,13,0.79,0,1.072,0.8468800000000001
24,307,13,0.9223,0,1.072,0.9887056000000001
24,317,13,1.1397,0,1.072,1.2217584
24,327,13,1.2281,0,1.072,1.3165232
25,277,13,1.1642,0,0.56101,0.653127842
25,287,13,0.6536,0,0.56101,0.366676136
25,297,13,0.5449,0,0.56101,0.30569434900000003
25,307,13,0.868,0,0.56101,0.48695668000000003
25,317,13,1.3347,0,0.56101,0.748780047
25,327,13,1.4377,0,0.56101,0.806564077
26,277,13,1.3259999999999998,0,0.86936,1.1527713599999998
26,287,13,1.275,0,0.86936,1.108434
26,297,13,0.9789,0,0.86936,0.8510165040000001
26,307,13,0.6398,0,0.86936,0.5562165280000001
26,317,13,0.6895,0,0.86936,0.59942372
26,327,13,1.0931,0,0.86936,0.950297416
27,277,13,1.1306,0,1.135,1.283231
27,287,13,1.1468,0,1.135,1.3016180000000002
27,297,13,1.0523,0,1.135,1.1943605
27,307,13,0.9179999999999999,0,1.135,1.04193
27,317,13,0.9701,0,1.135,1.1010635
27,327,13,1.0741,0,1.135,1.2191035000000001
28,277,13,0.996,0,1.178,1.1732879999999999
28,287,13,0.9934,0,1.178,1.1702252
28,297,13,1.0053,0,1.178,1.1842434
28,307,13,1.0422,0,1.178,1.2277116
28,317,13,1.0326,0,1.178,1.2164027999999998
28,327,13,1.0021,0,1.178,1.1804738
29,277,13,1.0113,0,1.143,1.1559159
29,287,13,1.0049,0,1.143,1.1486006999999998
29,297,13,1.0070000000000001,0,1.143,1.1510010000000002
29,307,13,1.0077,0,1.143,1.1518011000000001
29,317,13,1.0072,0,1.143,1.1512296000000002
29,327,13,1.0074,0,1.143,1.1514582000000002
30,277,13,1.035,0,1.2590000000000001,1.303065
30,287,13,1.041,0,1.2590000000000001,1.310619
30,297,13,1.0304,0,1.2590000000000001,1.2972736
30,307,13,1.0348,0,1.2590000000000001,1.3028132000000001
30,317,13,1.0371,0,1.2590000000000001,1.3057089
30,327,13,1.0455,0,1.2590000000000001,1.3162845000000003
31,277,13,1.0270000000000001,0,1.251,1.284777
31,287,13,1.0522,0,1.251,1.3163022
31,297,13,1.0328,0,1.251,1.2920327999999999
31,307,13,1.0307,0,1.251,1.2894056999999999
31,317,13,1.0481,0,1.251,1.3111731
31,327,13,1.0318,0,1.251,1.2907818
32,277,13,1.046,0,1.264,1.322144
32,287,13,1.0357,0,1.264,1.3091248000000002
32,297,13,1.0339,0,1.264,1.3068496
32,307,13,1.028,0,1.264,1.299392
32,317,13,1.0417,0,1.264,1.3167088
32,327,13,1.0315,0,1.264,1.303816
33,277,13,1.0052,0,1.1420000000000001,1.1479384000000001
33,287,13,1.0059,0,1.1420000000000001,1.1487378000000001
33,297,13,1.0083,0,1.1420000000000001,1.1514786000000001
33,307,13,1.0073,0,1.1420000000000001,1.1503366000000002
33,317,13,1.0068,0,1.1420000000000001,1.1497656
33,327,13,1.0116,0,1.1420000000000001,1.1552472000000003
34,277,13,1.0019,0,1.176,1.1782344
34,287,13,1.0343,0,1.176,1.2163367999999999
34,297,13,1.0441,0,1.176,1.2278616
34,307,13,1.0046,0,1.176,1.1814095999999998
34,317,13,0.9923,0,1.176,1.1669447999999998
34,327,13,0.9944,0,1.176,1.1694144
35,277,13,1.0758,0,1.138,1.2242604
35,287,13,0.9713,0,1.138,1.1053393999999999
35,297,13,0.9186,0,1.138,1.0453667999999998
35,307,13,1.0505,0,1.138,1.195469
35,317,13,1.1445,0,1.138,1.302441
35,327,13,1.1299,0,1.138,1.2858261999999998
36,277,13,1.0898,0,0.87125,0.94948825
36,287,13,0.6882,0,0.87125,0.59959425
36,297,13,0.6411,0,0.87125,0.5585583749999999
36,307,13,0.9783,0,0.87125,0.852343875
36,317,13,1.2769,0,0.87125,1.1124991249999998
36,327,13,1.327,0,0.87125,1.1561487499999998
37,277,13,1.2773,0,0.8718600000000001,1.1136267780000002
37,287,13,1.3263,0,0.8718600000000001,1.156347918
37,297,13,1.0912,0,0.8718600000000001,0.951373632
37,307,13,0.6888,0,0.8718600000000001,0.600537168
37,317,13,0.6394,0,0.8718600000000001,0.557467284
37,327,13,0.9783,0,0.8718600000000001,0.8529406380000001
38,277,13,1.0402,0,1.037,1.0786874
38,287,13,1.0193,0,1.037,1.0570141
38,297,13,0.9986,0,1.037,1.0355482
38,307,13,0.9686,0,1.037,1.0044381999999998
38,317,13,0.9922,0,1.037,1.0289114
38,327,13,1.0332,0,1.037,1.0714283999999998
39,277,13,1.0231,0,1.1179999999999999,1.1438257999999997
39,287,13,1.0258,0,1.1179999999999999,1.1468444
39,297,13,1.0228,0,1.1179999999999999,1.1434904
39,307,13,1.0022,0,1.1179999999999999,1.1204595999999998
39,317,13,0.985,0,1.1179999999999999,1.10123
39,327,13,0.9914,0,1.1179999999999999,1.1083851999999998
40,277,13,1.0591,0,1.268,1.3429388
40,287,13,1.042,0,1.268,1.321256
40,297,13,1.034,0,1.268,1.311112
40,307,13,1.0299,0,1.268,1.3059132
40,317,13,1.0247,0,1.268,1.2993196
40,327,13,1.0431,0,1.268,1.3226508
41,277,13,1.0090000000000001,0,1.244,1.2551960000000002
41,287,13,1.0285,0,1.244,1.2794539999999999
41,297,13,1.0599,0,1.244,1.3185156
41,307,13,1.0589,0,1.244,1.3172716
41,317,13,1.0623,0,1.244,1.3215012
41,327,13,0.993,0,1.244,1.235292
42,277,13,0.9802,0,1.052,1.0311704
42,287,13,0.9868,0,1.052,1.0381136
